"Outcome","Predictor","Tertiles","Mean","CI_lower","CI_upper","Contrast","Contrast_CI_lower","Contrast_CI_upper"
"waistcirumference","m_nmes","Low (T1)",87.01811634225,85.3130594819363,88.7950363050109,0.022,-6.00848543708904,-0.144624479164217
"waistcirumference","m_nmes","Moderate (T2)",88.1280871598288,86.3762923238157,89.9644878337081,0.022,-6.00848543708904,-0.144624479164217
"waistcirumference","m_nmes","High (T3)",90.1131108747058,87.8222754793056,92.4577561293993,0.022,-6.00848543708904,-0.144624479164217
"waistcirumference","m_fiber","Low (T1)",88.4005896503187,86.3220543306481,90.4606179481787,0.813,-1.76909194604031,5.05212390469355
"waistcirumference","m_fiber","Moderate (T2)",87.8335699130454,86.2263376180666,89.4464552790971,0.813,-1.76909194604031,5.05212390469355
"waistcirumference","m_fiber","High (T3)",86.7892874988453,84.0284958876337,89.6192618584307,0.813,-1.76909194604031,5.05212390469355
"waistcirumference","m_starch","Low (T1)",86.6783907650314,85.1104431714797,88.2977108815434,0,-10.1950369275484,-3.94900251305298
"waistcirumference","m_starch","Moderate (T2)",89.0538263030107,87.4009061849175,90.816036680181,0,-10.1950369275484,-3.94900251305298
"waistcirumference","m_starch","High (T3)",93.7103623198073,91.0828910959995,96.555313906428,0,-10.1950369275484,-3.94900251305298
"waistcirumference","m_intrinsic_sugars","Low (T1)",90.0996351997888,88.0884182229886,92.1222248285932,1,2.88907371316498,9.09415628208115
"waistcirumference","m_intrinsic_sugars","Moderate (T2)",88.1479597923926,86.3105857814191,89.8440633061991,1,2.88907371316498,9.09415628208115
"waistcirumference","m_intrinsic_sugars","High (T3)",84.2179816956722,81.674314454768,86.7753622816876,1,2.88907371316498,9.09415628208115
"waistcirumference","m_sucrose","Low (T1)",87.4601141799682,85.5688912778149,89.3767126087422,0.272,-3.98724201150276,2.02698095014234
"waistcirumference","m_sucrose","Moderate (T2)",87.9079261796427,86.2458413602443,89.6745976606707,0.272,-3.98724201150276,2.02698095014234
"waistcirumference","m_sucrose","High (T3)",88.4539836855422,86.0169253503288,90.8568225426984,0.272,-3.98724201150276,2.02698095014234
"waistcirumference","m_total_sugars","Low (T1)",87.9891322836163,85.9655911485019,90.0696679205329,0.592,-2.73264131450531,3.24138044148296
"waistcirumference","m_total_sugars","Moderate (T2)",87.8278282957286,86.0576287372588,89.5955965575806,0.592,-2.73264131450531,3.24138044148296
"waistcirumference","m_total_sugars","High (T3)",87.6276958584512,85.25070952185,90.1782469315974,0.592,-2.73264131450531,3.24138044148296
"bmi","m_nmes","Low (T1)",29.1101457072501,28.4678925626179,29.7152016835554,0.102,-1.54712494829307,0.324317774315564
"bmi","m_nmes","Moderate (T2)",29.3175107562371,28.793218048128,29.8404429606659,0.102,-1.54712494829307,0.324317774315564
"bmi","m_nmes","High (T3)",29.7044193874689,29.0790358873579,30.3608171314732,0.102,-1.54712494829307,0.324317774315564
