row_name,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
bodyfat_percent_model1,"36.6
(35.8, 37.5)","36.9
(36.1, 37.6)","37.4
(36.4, 38.4)","⌀
-0.5; 2.1","39.5
(38.4, 40.6)","37.9
(37.1, 38.7)","34.7
(33.7, 35.7)","↓
-6.3; -3.4","36.6
(35.8, 37.4)","37.0
(36.3, 37.8)","37.9
(36.6, 39.0)","⌀
-0.2; 2.7","38.5
(37.4, 39.7)","37.4
(36.6, 38.2)","35.2
(34.0, 36.4)","↓
-4.8; -1.8"
bodyfat_percent_model2,"37.6
(36.6, 38.5)","38.2
(37.2, 39.2)","39.2
(37.9, 40.5)","↑
0.0; 3.4","39.5
(38.3, 40.7)","37.9
(36.9, 38.9)","34.8
(33.1, 36.5)","↓
-6.9; -2.6","37.7
(36.7, 38.7)","38.6
(37.5, 39.8)","40.5
(38.8, 42.2)","↑
0.9; 4.9","38.6
(37.4, 39.9)","37.3
(36.5, 38.1)","34.7
(33.4, 35.9)","↓
-5.7; -2.3"
bodyfat_percent_model3,"37.7
(36.7, 38.8)","38.3
(37.2, 39.4)","39.3
(38.1, 40.5)","⌀
-0.1; 3.3","40.1
(38.9, 41.4)","38.7
(37.7, 39.8)","35.9
(34.1, 37.8)","↓
-6.4; -2.2","37.9
(36.8, 38.9)","38.8
(37.7, 39.9)","40.6
(38.8, 42.5)","↑
0.8; 4.8","39.1
(37.8, 40.3)","37.5
(36.6, 38.3)","34.6
(33.5, 35.9)","↓
-6.1; -2.7"
bmi_model1,"29.1
(28.5, 29.7)","29.3
(28.8, 29.8)","29.7
(29.1, 30.4)","⌀
-0.3; 1.5","30.7
(29.8, 31.6)","29.9
(29.3, 30.5)","28.3
(27.5, 29.0)","↓
-3.6; -1.3","29.0
(28.4, 29.5)","29.4
(28.9, 30.0)","30.3
(29.5, 31.2)","↑
0.4; 2.4","29.8
(29.0, 30.6)","29.5
(29.0, 30.1)","28.9
(28.0, 29.8)","⌀
-2.1; 0.2"
bmi_model2,"29.8
(29.1, 30.6)","30.2
(29.4, 30.9)","30.8
(29.9, 31.7)","⌀
-0.2; 2.2","31.2
(30.3, 32.1)","30.1
(29.4, 30.8)","27.9
(26.7, 29.2)","↓
-4.9; -1.7","29.9
(29.2, 30.6)","30.6
(29.9, 31.4)","32.1
(30.9, 33.3)","↑
0.9; 3.6","30.3
(29.4, 31.2)","29.7
(29.1, 30.3)","28.6
(27.8, 29.4)","↓
-2.9; -0.5"
bmi_model3,"29.9
(29.0, 30.7)","30.2
(29.5, 31.0)","30.8
(29.9, 31.8)","⌀
-0.3; 2.2","31.5
(30.5, 32.5)","30.5
(29.7, 31.3)","28.5
(27.2, 29.7)","↓
-4.7; -1.5","29.9
(29.1, 30.6)","30.6
(29.8, 31.5)","32.1
(30.8, 33.3)","↑
0.8; 3.7","30.6
(29.7, 31.5)","29.9
(29.3, 30.5)","28.6
(27.8, 29.5)","↓
-3.1; -0.7"
waistcirumference_model1,"87.0
(85.3, 88.8)","88.1
(86.4, 90.0)","90.1
(87.8, 92.5)","↑
0.1; 6.0","90.1
(88.1, 92.1)","88.1
(86.3, 89.8)","84.2
(81.7, 86.8)","↓
-9.1; -2.9","86.7
(85.1, 88.3)","89.1
(87.4, 90.8)","93.7
(91.1, 96.6)","↑
3.9; 10.2","88.4
(86.3, 90.5)","87.8
(86.2, 89.4)","86.8
(84.0, 89.6)","⌀
-5.1; 1.8"
waistcirumference_model2,"87.8
(85.8, 89.7)","89.2
(87.4, 91.1)","91.5
(88.9, 94.4)","↑
0.6; 7.1","90.5
(88.4, 92.5)","88.1
(86.3, 90.0)","83.5
(80.3, 86.5)","↓
-10.6; -3.2","87.7
(86.1, 89.5)","90.1
(88.2, 92.0)","95.0
(91.9, 98.2)","↑
3.8; 10.9","89.1
(86.9, 91.2)","88.0
(86.3, 89.7)","86.0
(83.1, 89.1)","⌀
-6.7; 0.6"
waistcirumference_model3,"88.0
(86.1, 89.7)","89.4
(87.5, 91.2)","91.6
(88.9, 94.2)","↑
0.4; 6.9","90.9
(88.9, 93.0)","88.8
(86.9, 90.5)","84.5
(81.0, 87.7)","↓
-10.5; -2.5","87.8
(85.9, 89.6)","90.2
(88.3, 92.2)","95.0
(91.9, 98.0)","↑
3.8; 10.7","89.5
(87.3, 91.5)","88.3
(86.5, 90.0)","86.0
(83.0, 88.8)","⌀
-7.1; 0.2"
trig_log_model1,"1.0
(1.0, 1.1)","1.0
(1.0, 1.1)","1.1
(1.0, 1.1)","⌀
-0.1; 0.1","1.1
(1.0, 1.2)","1.1
(1.0, 1.1)","1.0
(1.0, 1.1)","⌀
-0.2; 0.1","1.0
(1.0, 1.1)","1.1
(1.0, 1.1)","1.1
(1.1, 1.2)","↑
0.0; 0.2","1.1
(1.0, 1.1)","1.1
(1.0, 1.1)","1.0
(1.0, 1.1)","⌀
-0.1; 0.1"
