"Variable","N","Mean_Std"
"Age (years)",1082,"45.03 (11.68)"
"% Male",1082,"31.05"
"Energy (MJ)",1082,"1781.62 (555.14)"
"Dietary Fat (g)",1082,"69.60 (30.14)"
"Saturated Fat (g)",1082,"19.80 (10.68)"
"Protein (g)",1082,"86.44 (28.85)"
"Carbohydrate (g)",1082,"188.03 (69.16)"
"Fibre Englyst (g)",1082,"8.07 (6.25)"
"Fructose (g)",1082,"7.98 (8.52)"
"Glucose (g)",1082,"7.45 (6.94)"
"Intrinsic Sugars (g)",1082,"23.07 (23.15)"
"NMES (g)",1082,"23.30 (22.21)"
"Starch (g)",1082,"80.72 (50.26)"
"Sucrose (g)",1082,"21.27 (18.87)"
"Total Sugars (g)",1082,"47.41 (38.42)"
"Alcohol (g)",1082,"9.52 (14.63)"
"Cholesterol (mg)",1082,"282.30 (170.33)"
"BMI (kg/m2)",1082,"29.68 (5.16)"
"Bodyfat (kg)",1082,"32.57 (12.06)"
"Bodyfat Percent (%)",1082,"37.59 (8.67)"
"Waist Circumference (cm)",1082,"94.12 (13.50)"
"Hba1c Percent (%)",1082,"5.23 (0.45)"
"HDL (mmol/L)",1082,"1.66 (0.39)"
"LDL (mmol/L)",1082,"2.74 (0.81)"
"Triglycerides (mmol/L)",1082,"1.33 (0.61)"
